season,week,game_id,posteam,defteam,play_type,down,ydstogo,yardline_100,yards_gained,touchdown,pass_attempt,rush_attempt,epa,success,passer_player_name,rusher_player_name,receiver_player_name
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,75.0,1.0,0.0,0.0,1.0,-0.5697425659745932,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,9.0,74.0,5.0,0.0,1.0,0.0,-0.1266754986718297,0.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,3.0,4.0,69.0,0.0,0.0,1.0,0.0,-1.3604792286641896,0.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,punt,4.0,4.0,69.0,0.0,0.0,0.0,0.0,-0.2807047727983445,0.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.2806574220303446,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,70.0,4.0,0.0,0.0,1.0,-0.15709852008149028,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,6.0,66.0,18.0,0.0,1.0,0.0,1.433152218698524,1.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,1.0,10.0,48.0,0.0,0.0,1.0,0.0,-0.46354782162234187,0.0,J.Hurts,,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,2.0,10.0,48.0,-2.0,0.0,0.0,1.0,-1.280804684967734,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,3.0,12.0,50.0,9.0,0.0,1.0,0.0,-0.32153217936865985,0.0,J.Hurts,,D.Goedert
2024,2,2024_02_ATL_PHI,PHI,ATL,run,4.0,3.0,41.0,23.0,0.0,0.0,1.0,3.267778843466658,1.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,15.0,23.0,-5.0,0.0,0.0,1.0,-0.9138348637497984,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,2.0,20.0,28.0,9.0,0.0,0.0,1.0,0.06733456876827404,1.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,3.0,11.0,19.0,15.0,0.0,0.0,1.0,2.6635312864964362,1.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,no_play,1.0,4.0,4.0,0.0,0.0,0.0,0.0,-0.7886546160734724,0.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,1.0,9.0,9.0,2.0,0.0,1.0,0.0,-0.21856788510922343,0.0,J.Hurts,,B.Covey
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,7.0,7.0,7.0,1.0,1.0,0.0,2.261910751403775,1.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,extra_point,,0.0,15.0,0.0,0.0,0.0,0.0,0.06757300310763314,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,-0.01983303570887074,0.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,qb_kneel,1.0,10.0,70.0,-1.0,0.0,0.0,1.0,0.0,0.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.32716721622273326,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,70.0,9.0,0.0,0.0,1.0,0.8599597625434399,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,2.0,1.0,61.0,5.0,0.0,0.0,1.0,0.04431353113614023,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,1.0,10.0,56.0,-4.0,0.0,1.0,0.0,-1.1314574021380395,0.0,J.Hurts,,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,14.0,60.0,14.0,0.0,1.0,0.0,1.7141427393071353,1.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,1.0,10.0,46.0,10.0,0.0,1.0,0.0,0.6187796951271594,1.0,J.Hurts,,S.Barkley
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,36.0,4.0,0.0,0.0,1.0,-0.12633170746266842,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,6.0,32.0,19.0,0.0,1.0,0.0,1.5107380869449116,1.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,13.0,4.0,0.0,0.0,1.0,-0.2653554686694406,0.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,6.0,9.0,3.0,0.0,1.0,0.0,-0.2458426208468154,0.0,J.Hurts,,B.Covey
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,3.0,3.0,6.0,0.0,0.0,1.0,0.0,-1.7020679358392954,0.0,J.Hurts,,D.Smith
2024,2,2024_02_ATL_PHI,PHI,ATL,no_play,4.0,3.0,6.0,0.0,0.0,0.0,0.0,-0.16321661883939598,0.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,field_goal,4.0,8.0,11.0,0.0,0.0,0.0,0.0,0.15296612448964808,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.3157752933911979,1.0,,,
